Date	North.7	South.7	RNA.7	hospIncr.7	deadIncr.7
2020-03-11	14	18	16	0	0
2020-03-12	13	18	15.5	0	0
2020-03-13	13	18	15.5	0	0
2020-03-14	15	18	16.5	0	0
2020-03-15	14	19	16.5	0	0
2020-03-16	17	23	20	0	0
2020-03-17	20	24	22	0	0
2020-03-18	19	24	21.5	0	0.3
2020-03-22	40	35	37.5	10.1	1.6
2020-03-23	59	35	47	11.3	2.4
2020-03-24	69	35	52	13.4	3.7
2020-03-25	68	38	53	14.7	4.4
2020-03-26	69	62	65.5	31.3	5.6
2020-03-29	85	93	89	46.9	12.6
2020-03-31	104	109	106.5	66.9	18.1
2020-04-02	108	119	113.5	84.9	26.7
2020-04-06	141	149	145	173.4	46.3
2020-04-08	174	205	189.5	205.3	61.1
2020-04-13	221	220	220.5	259.7	109
2020-04-14	270	231	250.5	255	116.3
2020-04-15	275	217	246	216.9	126.7
2020-04-16	289	219	254	203.4	134.6
2020-04-21	312	234	273	56.1	160
2020-04-22	276	204	240	88.4	156.4
2020-04-26	268	162	215	187.9	107.6
2020-04-27	246	121	183.5	195	100
2020-04-28	208	121	164.5	215.1	100.6
2020-04-30	192	126	159	207	113.3
2020-05-02	164	134	149	201.9	138.4
2020-05-04	119	103	111	197.9	155.3
2020-05-05	103	86	94.5	188	151.3
2020-05-10	103	79	91	158.6	139.3
2020-05-19	79	82	80.5	132	113.9
2020-05-20	59	73	66	123.6	107.3
2020-05-21	58	84	71	119	95.1
2020-05-22	52	69	60.5	121.1	90.9
2020-05-23	45	65	55	114.9	85.6
2020-05-24	47	67	57	109.9	82.1
2020-05-25	44	64	54	102.6	79.1
2020-05-26	40	64	52	88.9	76.4
2020-05-27	39	64	51.5	85	68.7
2020-05-28	33	46	39.5	82.6	70.3
2020-05-29	31	47	39	80.4	70
2020-05-30	31	48	39.5	75.6	66.3
2020-05-31	33	49	41	73.6	67.7
2020-06-01	36	45	40.5	87.6	88.4
2020-06-02	35	40	37.5	96.4	87.4
2020-06-03	33	39	36	94.1	86.4
2020-06-04	33	41	37	88.6	80.1
2020-06-05	34	35	34.5	82.6	73.9
2020-06-06	31	30	30.5	82.9	74.4
2020-06-07	28	26	27	81.4	67.1
2020-06-08	29	24	26.5	67.6	45.4
2020-06-09	28	24	26	63.4	46.1
2020-06-10	29	22	25.5	61.6	43.1
2020-06-11	29	20	24.5	59.4	41.6
2020-06-12	28	20	24	60.4	43.3
2020-06-13	30	19	24.5	57.6	41
2020-06-14	31	18	24.5	58.4	44
2020-06-15	27	17	22	56	42
2020-06-16	25	15	20	51.4	36.7
2020-06-17	25	17	21	49	40
2020-06-18	26	15	20.5	47.3	39.7
2020-06-19	25	15	20	44.3	37.4
2020-06-20	25	16	20.5	43.4	36
2020-06-21	24	18	21	40.4	33.4
2020-06-22	21	18	19.5	39.6	32.4
2020-06-23	21	17	19	41.4	32.1
2020-06-24	19	16	17.5	42	29.1
2020-06-25	16	15	15.5	38.1	27.6
2020-06-26	15	16	15.5	36.4	30.4
2020-06-27	14	14	14	33.4	30.4
2020-06-28	13	13	13	33.4	28.9
2020-06-29	15	12	13.5	35.9	31.6
2020-06-30	18	13	15.5	25.7	23.4
2020-07-01	20	19	19.5	19	20.4
2020-07-02	23	20	21.5	20	24.1
2020-07-03	23	22	22.5	20.7	19.4
2020-07-04	23	23	23	21.6	18.7
2020-07-05	25	23	24	20.6	17.6
2020-07-06	27	25	26	17.7	14.7
2020-07-07	28	24	26	21.7	22.7
2020-07-08	27	21	24	23.6	23.1
2020-07-09	26	20	23	23.9	19.4
2020-07-10	27	18	22.5	20.9	21
2020-07-11	31	21	26	19.9	19.7
2020-07-12	31	22	26.5	20.7	20.3
2020-07-13	30	21	25.5	20.3	18.9
2020-07-14	29	24	26.5	19.4	18.1
2020-07-15	29	23	26	19.1	17.9
2020-07-16	30	25	27.5	14.9	16
2020-07-17	30	27	28.5	15.6	15.1
2020-07-18	30	26	28	15.6	15.6
2020-07-19	28	27	27.5	15.6	15.1
2020-07-20	27	26	26.5	15.9	14.7
2020-07-21	26	25	25.5	17.3	15.7
2020-07-22	25	23	24	15.7	14.3
2020-07-23	27	23	25	15.3	14.9
2020-07-24	28	20	24	13.4	13.7
2020-07-25	27	18	22.5	14.9	13
2020-07-26	28	18	23	15.9	14
2020-07-28	27	20	23.5	15.6	14.4
2020-07-30	34	20	27	17.6	15.9
2020-08-03	44	31	37.5	15.6	16
2020-08-04	44	36	40	16.9	15.1
2020-08-05	44	41	42.5	16.7	11.3
2020-08-06	46	43	44.5	16.3	13.7
2020-08-07	48	42	45	16.3	14.3
2020-08-10	53	43	48	17.1	13.3
2020-08-12	50	43	46.5	16.6	15.7
2020-08-14	41	32	36.5	18.3	13.6
2020-08-17	40	27	33.5	16.6	13.1
2020-08-19	46	25	35.5	14.9	15.3
2020-08-21	48	26	37	13.6	13.9
2020-08-24	47	26	36.5	12.9	16.4
2020-08-26	46	25	35.5	12.3	15.9
2020-08-28	46	26	36	12.7	17.4
2020-08-31	48	30	39	13.7	16
2020-09-02	60	33	46.5	-0.6	10.4
2020-09-04	67	34	50.5	0.1	11
2020-09-07	67	37	52	-1	10.4
2020-09-09	68	43	55.5	13.1	12.3
2020-09-10	69	44	56.5	10.9	12.7
2020-09-11	67	46	56.5	10.9	11.4
2020-09-12	67	43	55	11.3	11.4
2020-09-13	56	40	48	11.6	12.1
2020-09-14	46	37	41.5	12.1	12.3
2020-09-15	45	40	42.5	13.4	12
2020-09-16	47	41	44	13	14.1
2020-09-17	47	41	44	13.6	13.4
2020-09-18	52	41	46.5	14.7	12.7
2020-09-19	49	46	47.5	15.9	14.1
2020-09-20	48	55	51.5	16.3	14.3
2020-09-21	44	60	52	15.9	14
2020-09-22	44	56	50	15.6	14.7
2020-09-23	43	53	48	16.3	14.6
2020-09-24	40	54	47	15.7	14.6
2020-09-25	34	56	45	15	14.9
2020-09-28	36	55	45.5	13.6	14
2020-09-30	34	51	42.5	13.4	15.6
2020-10-02	36	52	44	16.3	16.7
2020-10-05	35	55	45	15.3	16.4
2020-10-07	39	57	48	17.3	14.4
2020-10-09	42	60	51	16.1	12.4
2020-10-12	45	61	53	18.1	12.4
2020-10-14	49	69	59	18	12.9
2020-10-16	60	75	67.5	17.9	17.9
2020-10-18	93	83	88	18.6	19
2020-10-19	104	111	107.5	18.1	19.4
2020-10-20	113	127	120	17.4	18.3
2020-10-21	118	157	137.5	17.6	19
2020-10-22	130	178	154	19.4	19.7
2020-10-23	134	181	157.5	19.3	18.3
2020-10-24	139	182	160.5	19.4	16.6
2020-10-25	119	191	155	20.1	18.1
2020-10-26	120	171	145.5	21.6	18.3
