Senator	NextElection	Retiring
Baldwin	2024	No
Brown	2024	No
Cantwell	2024	No
Cardin	2024	No
Carper	2024	No
Casey	2024	No
Feinstein	2024	No
Gillibrand	2024	No
Heinrich	2024	No
Hirono	2024	No
Kaine	2024	No
Klobuchar	2024	No
Manchin	2024	No
Menendez	2024	No
Murphy	2024	No
Rosen	2024	No
Sinema	2024	No
Stabenow	2024	No
Tester	2024	No
Warren	2024	No
Whitehouse	2024	No
Barrasso	2024	No
Blackburn	2024	No
Braun	2024	No
Cramer	2024	No
Cruz	2024	No
Fischer	2024	No
Hawley	2024	No
Romney	2024	No
ScottFL	2024	No
Wicker	2024	No
King	2024	No
Sanders	2024	No
Booker	2026	No
Coons	2026	No
Durbin	2026	No
Hickenlooper	2026	No
Lujan	2026	No
Markey	2026	No
Merkley	2026	No
Ossoff	2026	No
Peters	2026	No
Reed	2026	No
Shaheen	2026	No
Smith	2026	No
Warner	2026	No
Capito	2026	No
Cassidy	2026	No
Collins	2026	No
Cornyn	2026	No
Cotton	2026	No
Daines	2026	No
Ernst	2026	No
Graham	2026	No
Hagerty	2026	No
Hyde-Smith	2026	No
Inhofe	2026	No
Lummis	2026	No
Marshall	2026	No
McConnell	2026	No
Risch	2026	No
Rounds	2026	No
Sasse	2026	No
Sullivan	2026	No
Tillis	2026	No
Tuberville	2026	No
Bennet	2022	No
Blumenthal	2022	No
Cortez Masto	2022	No
Duckworth	2022	No
Hassan	2022	No
Kelly	2022	No
Leahy	2022	No
Murray	2022	No
Padilla	2022	No
Schatz	2022	No
Schumer	2022	No
Van Hollen	2022	No
Warnock	2022	No
Wyden	2022	No
Blunt	2022	No
Boozman	2022	No
Burr	2022	Yes
Crapo	2022	No
Grassley	2022	Maybe
Hoeven	2022	No
Johnson	2022	Maybe
Kennedy	2022	No
Lankford	2022	No
Lee	2022	No
Moran	2022	No
Murkowski	2022	No
Paul	2022	No
Portman	2022	Yes
Rubio	2022	No
ScottSC	2022	No
Shelby	2022	Maybe
Thune	2022	Maybe
Toomey	2022	Yes
Young	2022	No
