State	   Senator	Party	VoteVerdict
Alabama	Shelby	R	NotGuilty
Alabama	Tuberville	R	NotGuilty
Alaska	Murkowski	R	Guilty
Alaska	Sullivan	R	NotGuilty
Arizona	Kelly	D	Guilty
Arizona	Sinema	D	Guilty
Arkansas	Boozman	R	NotGuilty
Arkansas	Cotton	R	NotGuilty
California	Feinstein	D	Guilty
California	Padilla	D	Guilty
Colorado	Bennet	D	Guilty
Colorado	Hickenlooper	D	Guilty
Connecticut	Blumenthal	D	Guilty
Connecticut	Murphy	D	Guilty
Delaware	Carper	D	Guilty
Delaware	Coons	D	Guilty
Florida	Rubio	R	NotGuilty
Florida	ScottFL	R	NotGuilty
Georgia	Ossoff	D	Guilty
Georgia	Warnock	D	Guilty
Hawaii	Hirono	D	Guilty
Hawaii	Schatz	D	Guilty
Idaho	Crapo	R	NotGuilty
Idaho	Risch	R	NotGuilty
Illinois	Duckworth	D	Guilty
Illinois	Durbin	D	Guilty
Indiana	Braun	R	NotGuilty
Indiana	Young	R	NotGuilty
Iowa	Ernst	R	NotGuilty
Iowa	Grassley	R	NotGuilty
Kansas	Marshall	R	NotGuilty
Kansas	Moran	R	NotGuilty
Kentucky	McConnell	R	NotGuilty
Kentucky	Paul	R	NotGuilty
Louisiana	Cassidy	R	Guilty
Louisiana	Kennedy	R	NotGuilty
Maine	Collins	R	Guilty
Maine	King	I	Guilty
Maryland	Cardin	D	Guilty
Maryland	Van Hollen	D	Guilty
Massachusetts	Markey	D	Guilty
Massachusetts	Warren	D	Guilty
Michigan	Peters	D	Guilty
Michigan	Stabenow	D	Guilty
Minnesota	Klobuchar	D	Guilty
Minnesota	Smith	D	Guilty
Mississippi	Hyde-Smith	R	NotGuilty
Mississippi	Wicker	R	NotGuilty
Missouri	Blunt	R	NotGuilty
Missouri	Hawley	R	NotGuilty
Montana	Daines	R	NotGuilty
Montana	Tester	D	Guilty
Nebraska	Fischer	R	NotGuilty
Nebraska	Sasse	R	Guilty
Nevada	Cortez Masto	D	Guilty
Nevada	Rosen	D	Guilty
New Hampshire	Hassan	D	Guilty
New Hampshire	Shaheen	D	Guilty
New Jersey	Booker	D	Guilty
New Jersey	Menendez	D	Guilty
New Mexico	Heinrich	D	Guilty
New Mexico	Lujan	D	Guilty
New York	Gillibrand	D	Guilty
New York	Schumer	D	Guilty
North Carolina	Burr	R	Guilty
North Carolina	Tillis	R	NotGuilty
North Dakota	Cramer	R	NotGuilty
North Dakota	Hoeven	R	NotGuilty
Ohio	Brown	D	Guilty
Ohio	Portman	R	NotGuilty
Oklahoma	Inhofe	R	NotGuilty
Oklahoma	Lankford	R	NotGuilty
Oregon	Merkley	D	Guilty
Oregon	Wyden	D	Guilty
Pennsylvania	Casey	D	Guilty
Pennsylvania	Toomey	R	Guilty
Rhode Island	Reed	D	Guilty
Rhode Island	Whitehouse	D	Guilty
South Carolina	Graham	R	NotGuilty
South Carolina	ScottSC	R	NotGuilty
South Dakota	Rounds	R	NotGuilty
South Dakota	Thune	R	NotGuilty
Tennessee	Blackburn	R	NotGuilty
Tennessee	Hagerty	R	NotGuilty
Texas	Cornyn	R	NotGuilty
Texas	Cruz	R	NotGuilty
Utah	Lee	R	NotGuilty
Utah	Romney	R	Guilty
Vermont	Leahy	D	Guilty
Vermont	Sanders	I	Guilty
Virginia	Kaine	D	Guilty
Virginia	Warner	D	Guilty
Washington	Cantwell	D	Guilty
Washington	Murray	D	Guilty
West Virginia	Capito	R	NotGuilty
West Virginia	Manchin	D	Guilty
Wisconsin	Baldwin	D	Guilty
Wisconsin	Johnson	R	NotGuilty
Wyoming	Barrasso	R	NotGuilty
Wyoming	Lummis	R	NotGuilty
