DATE,FYFSGDA188S
1977-01-01,-2.57750
1978-01-01,-2.51680
1979-01-01,-1.55009
1980-01-01,-2.58390
1981-01-01,-2.46233
1982-01-01,-3.82730
1983-01-01,-5.71821
1984-01-01,-4.59100
1985-01-01,-4.89304
1986-01-01,-4.83067
1987-01-01,-3.08390
1988-01-01,-2.96343
1989-01-01,-2.70561
1990-01-01,-3.70670
1991-01-01,-4.37207
1992-01-01,-4.45255
1993-01-01,-3.71873
1994-01-01,-2.78825
1995-01-01,-2.14604
1996-01-01,-1.33072
1997-01-01,-0.25513
1998-01-01,0.76433
1999-01-01,1.3042
2000-01-01,2.30458
2001-01-01,1.21184
2002-01-01,-1.44347
2003-01-01,-3.29583
2004-01-01,-3.37825
2005-01-01,-2.44145
2006-01-01,-1.79638
2007-01-01,-1.11026
2008-01-01,-3.10465
2009-01-01,-9.75744
2010-01-01,-8.60107
2011-01-01,-8.33091
2012-01-01,-6.62345
2013-01-01,-4.02694
2014-01-01,-2.75323
2015-01-01,-2.41574
2016-01-01,-3.10903
2017-01-01,-3.39306
2018-01-01,-3.77157
2019-01-01,-4.56634
2020-01-01,-14.6691
2021-01-01,-11.71965
2022-01-01,-5.2906
2023-01-01,-6.11543
