Date	Dividend
2024-Dec-23	0.94
2024-Sep-27	0.87
2024-Jun-28	0.95
2024-Mar-22	0.91
2023-Dec-21	1.00
2023-Sep-21	0.80
2023-Jun-23	0.83
2023-Mar-23	0.79
2022-Dec-22	0.93
2022-Sep-23	0.80
2022-Jun-23	0.75
2022-Mar-23	0.71
2021-Dec-27	0.86
2021-Sep-24	0.72
2021-Jun-24	0.68
2021-Mar-25	0.67
2020-Dec-24	0.78
2020-Sep-25	0.67
2020-Jun-25	0.70
2020-Mar-26	0.61
2019-Dec-24	0.89
2019-Sep-16	0.70
2019-Jun-17	0.55
2019-Mar-25	0.77
2018-Dec-24	0.72
2018-Sep-28	0.71
2018-Jun-22	0.60
2018-Mar-22	0.57
2017-Dec-21	0.67
2017-Sep-22	0.55
2017-Jun-21	0.58
2017-Mar-24	0.54
2016-Dec-20	0.73
2016-Sep-13	0.54
2016-Jun-14	0.47
2016-Mar-15	0.48
2015-Dec-21	0.58
2015-Sep-25	0.51
2015-Jun-26	0.47
2015-Mar-25	0.51
2014-Dec-22	0.56
2014-Sep-24	0.47
2014-Jun-24	0.42
2014-Mar-25	0.42
2013-Dec-20	0.49
2013-Sep-23	0.43
2013-Jun-24	0.39
2013-Mar-22	0.36
2012-Dec-20	0.55
2012-Sep-24	0.36
2012-Jun-25	0.35
2012-Mar-26	0.31
2011-Dec-21	0.36
2011-Sep-23	0.31
2011-Jun-24	0.28
2011-Mar-25	0.28
2010-Dec-22	0.35
2010-Sep-24	0.30
2010-Jun-24	0.27
2010-Mar-25	0.24
2009-Dec-22	0.36
2009-Sep-24	0.25
2009-Jun-24	0.22
2009-Mar-25	0.28
2008-Dec-22	0.34
2008-Sep-24	0.30
2008-Jun-24	0.31
2008-Jun-18	2:1 Stock Splits
2008-Mar-25	0.31
2007-Dec-20	0.39
2007-Sep-24	0.32
2007-Jun-25	0.29
2007-Mar-26	0.31
2006-Dec-22	0.36
2006-Sep-25	0.26
2006-Jun-26	0.27
2006-Mar-20	0.26
2005-Dec-27	0.34
2005-Sep-26	0.29
2005-Jun-27	0.20
2005-Mar-24	0.22
2004-Dec-27	0.39
2004-Sep-27	0.19
2004-Jun-28	0.19
2004-Mar-29	0.18
2003-Dec-22	0.22
2003-Sep-29	0.17
2003-Jun-23	0.15
2003-Mar-31	0.15
2002-Dec-23	0.20
2002-Sep-30	0.15
2002-Jun-24	0.13
2002-Mar-25	0.15
2001-Dec-24	0.20
2001-Sep-24	0.16
2001-Jun-25	0.14
