DayNum	Date	Soldiers
1	2023-01-22	120760
2	2023-01-23	121480
3	2023-01-24	122170
4	2023-01-25	123080
5	2023-01-26	123860
6	2023-01-27	124710
7	2023-01-28	125510
8	2023-01-29	126160
9	2023-01-30	126650
10	2023-01-31	127500
11	2023-02-01	128420
12	2023-02-02	129030
13	2023-02-03	129870
14	2023-02-04	130590
15	2023-02-05	131290
16	2023-02-06	132160
17	2023-02-07	133190
18	2023-02-08	134100
19	2023-02-09	135010
20	2023-02-10	135740
21	2023-02-11	136880
22	2023-02-12	137780
23	2023-02-13	138340
24	2023-02-14	139080
25	2023-02-15	139770
26	2023-02-16	140460
27	2023-02-17	141260
28	2023-02-18	142270
29	2023-02-19	142860
30	2023-02-20	143680
31	2023-02-21	144440
32	2023-02-22	145060
33	2023-02-23	145850
34	2023-02-24	146820
35	2023-02-25	147470
36	2023-02-26	148130
37	2023-02-27	148690
38	2023-02-28	149240
39	2023-03-01	149890
40	2023-03-02	150605
41	2023-03-03	151370
42	2023-03-04	152190
43	2023-03-05	153120
44	2023-03-06	153770
45	2023-03-07	154830
46	2023-03-08	155530
47	2023-03-09	156120
48	2023-03-10	156990
49	2023-03-11	158000
50	2023-03-12	159090
51	2023-03-13	159800
52	2023-03-14	160540
53	2023-03-15	161520
54	2023-03-16	162560
55	2023-03-17	163320
56	2023-03-18	164200
57	2023-03-19	164910
58	2023-03-20	165610
59	2023-03-21	166570
60	2023-03-22	167490
61	2023-03-23	168150
62	2023-03-24	169170
63	2023-03-25	169890
64	2023-03-26	170550
65	2023-03-27	171160
66	2023-03-28	171730
67	2023-03-29	172340
68	2023-03-30	172900
69	2023-03-31	173360
70	2023-04-01	173990
71	2023-04-02	174550
72	2023-04-03	175160
73	2023-04-04	175690
74	2023-04-05	176240
75	2023-04-06	176630
76	2023-04-07	177110
77	2023-04-08	177680
78	2023-04-09	178150
79	2023-04-10	178820
80	2023-04-11	179320
81	2023-04-12	180050
82	2023-04-13	180590
83	2023-04-14	181090
84	2023-04-15	181550
85	2023-04-16	182070
86	2023-04-17	182660
87	2023-04-18	183130
88	2023-04-19	183750
89	2023-04-20	184420
90	2023-04-21	185050
91	2023-04-22	185730
92	2023-04-23	186420
93	2023-04-24	187080
94	2023-04-25	187770
95	2023-04-26	188410
96	2023-04-27	188920
97	2023-04-28	189460
98	2023-04-29	190040
100	2023-05-01	190960
101	2023-05-02	191240
102	2023-05-03	191940
103	2023-05-04	192590
104	2023-05-05	193210
105	2023-05-06	193770
106	2023-05-07	194430
107	2023-05-08	194970
108	2023-05-09	195620
109	2023-05-10	196310
111	2023-05-12	197670
112	2023-05-13	198260
113	2023-05-14	198880
114	2023-05-15	199460
115	2023-05-16	199980
116	2023-05-17	200590
444	2024-04-10	450080
489	2024-05-25	500080
575	2024-08-19	600470
652	2024-11-04	700390
716	2025-01-07	800010
789	2025-03-21	900800
872	2025-06-12	1000340
972	2025-09-20	1100600
1069	2025-12-26	1202070
